id,role,type,description,size/ratio,style line ref,source
ghost-player,Playable hero and shared visual baseline,3D model,"Approved smooth white vinyl Ghost character with exact face and silhouette","1.9 hero units","STYLE_FORMULA_V1","reference_media[0]"
ghost-rival-accent,Distinguishes remote players and fallback racers,3D procedural accessory,"Small floating vinyl color ring and name marker attached to Ghost rivals","0.45 hero width","STYLE_FORMULA_V1","generate"
skyway-training-echo,Low-cost fallback racer,3D procedural character,"Purpose-built low-poly Ghost-family training rival with a cool pearl body simple dark face and one accent ring","1.7 hero units","STYLE_FORMULA_V1","generate"
skypark-hub,Social home and return destination,3D procedural environment,"Warm city skate park with authored districts trees courts fountain skyline and a single gold circulation spine","80 x 80 world units","STYLE_FORMULA_V1","generate"
skypark-play-gate,Primary game entry landmark,3D procedural prop,"Large Apple-yellow civic portal with a readable start pad and race signal","4.6 hero heights","STYLE_FORMULA_V1","generate"
skyway-course,Primary first-playable race,3D procedural environment,"Short elevated park course with broad toy-vinyl platforms and visible finish arch","95 x 16 world units","STYLE_FORMULA_V1","generate"
skyway-hazards,Course resistance and mastery beats,3D procedural props,"Two sweepers one sliding gate and three timed stepping pads with distinct rose and plum signals","0.3-2.2 hero heights","STYLE_FORMULA_V1","generate"
game-ui,Entry hub race HUD and results controls,DOM UI,"Quiet warm translucent interface with clear command hierarchy and compact mobile-safe controls","Responsive 16:9 through 9:16","STYLE_FORMULA_V1","generate"
game-audio,Hub race and action feedback,audio,"Soft synthesized park ambience with gentle jump checkpoint countdown finish and UI cues","Ear-safe Web Audio mix","STYLE_FORMULA_V1","generate"
skyway-gold-line,Race shortcut and Blink Bridge route choice,3D procedural environment,"Three narrow always-on yellow stepping pads with dark diamond inlays beside the timed plum route","1.6 x 2.8-3.2 world units","STYLE_FORMULA_V1","code-authored in src/games/obstacle.js"
balloon-gust-dial,Survival escalation timer and arena landmark,3D procedural environment,"Central rose tick dial that turns yellow and rotates during the Final Gust","7.1 world-unit diameter","STYLE_FORMULA_V1","code-authored in src/games/balloon.js"
skypark-activity-rings,Optional district route and next-action signal,3D procedural UI,"Instanced low-profile cream gold and sage rings shown only for an opted-in Beacon Line or Ripple Steps run","0.9 world-unit radius","STYLE_FORMULA_V1","code-authored in src/world/hub-plus.js"
skypark-activity-hud,Optional district objective progress timer and exit,DOM UI,"Warm translucent compact activity card with explicit local objective progress and 44px exit action","Responsive 16:9 through 9:16","STYLE_FORMULA_V1","code-authored in index.html and src/main.js"
tag-role-signal,Tag role and recovery readability,3D procedural UI,"Literal IT sprite with rose cone and ring plus a temporary sage no-tag-back recovery ring","0.8-2.15 world units","STYLE_FORMULA_V1","code-authored in src/games/tag.js"
